Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
BTQ25,2025-08-20,113520,114640,112485,114465,1230,+1.09%,9207,28598
BTQ25,2025-08-21,114520,115030,112075,112285,-2180.,-1.90%,9035,29050
BTQ25,2025-08-22,112750,117640,111805,116850,4565,+4.07%,22760,27900
BTU25,2025-08-25,114325,114510,110280,111610,-5240.,-4.48%,21380,27476
BTU25,2025-08-26,110675,112185,109550,111915,305,+0.27%,18267,27481
BTU25,2025-08-27,112300,113460,111100,112880,965,+0.86%,13420,27735
BTU25,2025-08-28,112375,114225,111680,112740,-140.,-0.12%,16903,27142
BTU25,2025-08-29,112845,113405,108020,108775,-3965.,-3.52%,9906,26073
BTU25,2025-09-02,109545,112440,107790,111385,2610,+2.40%,12503,26684
BTU25,2025-09-03,111725,113215,111150,112830,1445,+1.30%,6787,26875
BTU25,2025-09-04,112710,112840,109720,110245,-2585.,-2.29%,7750,26757
BTU25,2025-09-05,110950,113810,110480,111955,1710,+1.55%,10486,26815
BTU25,2025-09-08,111320,113420,111000,112480,525,+0.47%,6727,26653
BTU25,2025-09-09,112820,113840,111015,111695,-785.,-0.70%,9682,26930
BTU25,2025-09-10,111690,114925,111230,113975,2280,+2.04%,12181,27422
BTU25,2025-09-11,114360,115195,113590,114930,955,+0.84%,7573,27874
BTU25,2025-09-12,114915,117320,114850,117265,2335,+2.03%,9311,28400
BTU25,2025-09-15,116625,117240,114635,115575,-1690.,-1.44%,10253,28195
BTU25,2025-09-16,115800,117335,114960,117090,1515,+1.31%,8825,28844
BTU25,2025-09-17,117205,117685,114850,115825,-1265.,-1.08%,11830,28888
BTU25,2025-09-18,116115,118295,116115,117770,1945,+1.68%,12850,29822
BTU25,2025-09-19,117565,117800,115220,115265,-2505.,-2.13%,16251,29166
BTU25,2025-09-22,115525,115655,111970,112250,-3015.,-2.62%,22650,28334
BTV25,2025-09-23,113675,114240,112365,112515,265,+0.24%,19481,27809
BTV25,2025-09-24,112955,114895,111860,114280,1765,+1.57%,16775,27413
BTV25,2025-09-25,114255,114540,109220,110020,-4260.,-3.73%,22588,26939
BTV25,2025-09-26,110125,110990,109270,109770,-250.,-0.23%,8014,25461
BTV25,2025-09-29,111355,115340,111355,115230,5460,+4.97%,10242,26601
BTV25,2025-09-30,115045,115765,113460,115185,-45.,-0.04%,6711,26874
BTV25,2025-10-01,115065,119145,114570,118285,3100,+2.69%,9201,27564
BTV25,2025-10-02,118470,122040,118470,121910,3625,+3.06%,9120,28283
BTV25,2025-10-03,125030,125030,120400,123635,1725,+1.41%,10265,28926
BTV25,2025-10-06,123755,127240,123745,126315,2680,+2.17%,9820,29567
BTV25,2025-10-07,126125,126295,121420,122355,-3960.,-3.14%,11457,29001
BTV25,2025-10-08,122820,124940,121900,124070,1715,+1.40%,8498,29306
BTV25,2025-10-09,123995,124465,120370,121620,-2450.,-1.97%,9843,29406
BTV25,2025-10-10,122225,123270,113150,116990,-4630.,-3.81%,13716,29019
BTV25,2025-10-13,115750,116530,114110,116380,-610.,-0.52%,12065,28136
BTV25,2025-10-14,116270,116395,110295,113085,-3295.,-2.83%,14392,28503
BTV25,2025-10-15,113710,114075,110410,111550,-1535.,-1.36%,10315,29157
BTV25,2025-10-16,111080,112280,107720,108445,-3105.,-2.78%,11750,29033
BTV25,2025-10-17,108645,109490,103745,106675,-1770.,-1.63%,13986,28821
BTV25,2025-10-20,109100,111945,107660,111075,4400,+4.12%,12147,28968
BTV25,2025-10-21,110845,114380,107705,112105,1030,+0.93%,17083,28477
BTV25,2025-10-22,111040,111065,106950,107945,-4160.,-3.71%,15437,28650
BTV25,2025-10-23,107475,111555,107035,110420,2475,+2.29%,12963,29342
BTX25,2025-10-24,110400,112915,110320,111300,880,+0.80%,16616,29685
BTX25,2025-10-27,114280,117160,114275,115670,4370,+3.93%,22726,29391
BTX25,2025-10-28,114975,116860,112995,114320,-1350.,-1.17%,20642,28717
BTX25,2025-10-29,113685,114315,109800,111140,-3180.,-2.78%,20388,27777
BTX25,2025-10-30,112040,112195,106735,106955,-4185.,-3.77%,22768,27622
BTX25,2025-10-31,108415,111630,107835,110320,3365,+3.15%,8968,26316
BTX25,2025-11-03,110370,111295,105755,107070,-3250.,-2.95%,8354,26432
BTX25,2025-11-04,106960,107775,99250,101030,-6040.,-5.64%,14448,27093
