Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
SAM25,2025-06-05,174.9,175.1,161.7,165.75,-9.9,-5.64%,607,1355
SAM25,2025-06-06,163.8,172.05,162.7,169,3.25,+1.96%,285,1412
SAM25,2025-06-09,173.8,176.8,169.6,175.8,6.8,+4.02%,384,1496
SAM25,2025-06-10,178.8,185.7,176.25,183.65,7.85,+4.47%,706,1558
SAM25,2025-06-11,183.9,188.2,181.75,182.65,-1.,-0.54%,676,1648
SAM25,2025-06-12,179.9,181.2,172.1,174.6,-8.05,-4.41%,329,1661
SAM25,2025-06-13,171.3,171.3,160.6,164.85,-9.75,-5.58%,823,1799
SAM25,2025-06-16,170.2,178.35,170.2,177.4,12.55,+7.61%,521,1789
SAM25,2025-06-17,176.6,176.6,165.35,168.5,-8.9,-5.02%,627,1913
SAM25,2025-06-18,166.7,168.85,163.3,164.25,-4.25,-2.52%,1755,1870
SAM25,2025-06-20,167.3,168.4,155.3,159.35,-4.9,-2.98%,2328,2008
SAM25,2025-06-23,148.1,161.6,148.05,159.05,-0.3,-0.19%,3500,2207
SAN25,2025-06-24,161.25,165.85,161.25,163.05,4,+2.51%,2568,2197
SAN25,2025-06-25,164.2,166.95,162.15,164,0.95,+0.58%,1702,2135
SAN25,2025-06-26,162.4,167.15,159.95,161.2,-2.8,-1.71%,1012,2158
SAN25,2025-06-27,159.25,163.7,156.3,160.75,-0.45,-0.28%,430,2076
SAN25,2025-06-30,170.9,178.85,168.25,176.95,16.2,+10.08%,1123,2093
SAN25,2025-07-01,174.5,174.5,163.5,164.1,-12.85,-7.26%,912,2143
SAN25,2025-07-02,165.1,172.5,164.35,171.8,7.7,+4.69%,1017,2320
SAN25,2025-07-03,172.35,175.2,168.7,170.5,-1.3,-0.76%,417,2334
SAN25,2025-07-07,171,172.15,166.25,167.5,-3.,-1.76%,710,2299
SAN25,2025-07-08,166.85,171.4,166.25,170.2,2.7,+1.61%,621,2435
SAN25,2025-07-09,169.3,176.5,169,175.85,5.65,+3.32%,680,2491
SAN25,2025-07-10,175.7,179.9,174.35,178.05,2.2,+1.25%,835,2547
SAN25,2025-07-11,182.4,187.05,180.35,183.15,5.1,+2.86%,1359,2862
SAN25,2025-07-14,180.25,187.75,177,182.65,-0.5,-0.27%,1795,3413
SAN25,2025-07-15,180.95,182.45,175.85,179.1,-3.55,-1.94%,1098,3612
SAN25,2025-07-16,180.1,193.95,180.1,193.2,14.1,+7.87%,2094,3986
SAN25,2025-07-17,193.6,197.15,187.65,191.7,-1.5,-0.78%,3152,4509
SAN25,2025-07-18,194.5,203.85,192.15,195.85,4.15,+2.16%,5201,4828
SAN25,2025-07-21,201,218.65,196.55,214.35,18.5,+9.45%,10406,7091
SAN25,2025-07-22,215.4,224.35,212.55,217.3,2.95,+1.38%,12565,8161
SAQ25,2025-07-23,220.2,223.95,202.15,206.35,-10.95,-5.04%,11014,8429
SAQ25,2025-07-24,205.3,209.05,196.65,204.55,-1.8,-0.87%,3942,8335
SAQ25,2025-07-25,202.45,202.45,191.45,197.1,-7.45,-3.64%,2091,6717
SAQ25,2025-07-28,203.7,210.4,197.35,199.9,2.8,+1.42%,1640,6870
SAQ25,2025-07-29,199.25,201.05,192.2,195.25,-4.65,-2.33%,1788,6631
SAQ25,2025-07-30,195.05,196.35,183.8,189.55,-5.7,-2.92%,1331,6482
SAQ25,2025-07-31,189.15,196.35,187.35,188.5,-1.05,-0.55%,742,6519
SAQ25,2025-08-01,186.75,187.4,174.55,179.2,-9.3,-4.93%,1729,6151
SAQ25,2025-08-04,175.1,182.65,173.9,178.45,-0.75,-0.42%,1310,6484
SAQ25,2025-08-05,181.45,184.5,174.85,175.2,-3.25,-1.82%,979,6448
SAQ25,2025-08-06,175.45,182.5,173.7,181.15,5.95,+3.40%,1268,6708
SAQ25,2025-08-07,181.05,186.35,179.4,184.55,3.4,+1.88%,1066,6887
SAQ25,2025-08-08,186.5,192.5,186.3,191.4,6.85,+3.71%,1908,7450
SAQ25,2025-08-11,195.65,199.6,187.95,189.15,-2.25,-1.18%,1201,7515
SAQ25,2025-08-12,187.35,204.85,186,203.7,14.55,+7.69%,2761,8286
SAQ25,2025-08-13,205.6,218.1,203.95,215.25,11.55,+5.67%,3838,9548
SAQ25,2025-08-14,213.8,223.35,199.5,205.8,-9.45,-4.39%,3064,9559
SAQ25,2025-08-15,202.25,210.55,195.7,196.15,-9.65,-4.69%,1572,9367
SAQ25,2025-08-18,203.6,205.9,192.25,195.6,-0.55,-0.28%,1381,9502
SAQ25,2025-08-19,196.1,198.05,187.65,188.55,-7.05,-3.60%,1731,9331
SAQ25,2025-08-20,190.7,200.3,187.7,199.9,11.35,+6.02%,2796,9988
SAQ25,2025-08-21,199.25,202.4,191.1,191.75,-8.15,-4.08%,7000,9232
SAQ25,2025-08-22,192.65,212.1,188.85,210.75,19,+9.91%,9395,10104
SAQ25,2025-08-25,215.75,225.5,197.85,203.1,-7.65,-3.63%,10466,10697
SAU25,2025-08-26,197.45,208.9,195.85,208.3,5.2,+2.56%,11676,11623
SAU25,2025-08-27,207.25,222.8,204.65,217.55,9.25,+4.44%,12824,12892
SAU25,2025-08-28,215.2,227.65,212.65,220.9,3.35,+1.54%,6624,13471
SAU25,2025-08-29,224.1,228.45,210.3,212.5,-8.4,-3.80%,4118,11541
SAU25,2025-09-02,214.7,218.25,203.3,215.2,2.7,+1.27%,3890,11791
SAU25,2025-09-03,216.75,223.15,216.75,220.25,5.05,+2.35%,3081,12482
SAU25,2025-09-04,218.7,221.85,211.05,211.55,-8.7,-3.95%,1699,12076
SAU25,2025-09-05,213.65,220.25,210.35,214.85,3.3,+1.56%,2274,12020
SAU25,2025-09-08,214.15,227.35,213.9,226.2,11.35,+5.28%,5049,13649
SAU25,2025-09-09,225.3,230.05,221.1,226.15,-0.05,-0.02%,1879,14172
SAU25,2025-09-10,225.6,235.85,224.6,231.2,5.05,+2.23%,2448,14936
SAU25,2025-09-11,233.3,238.6,231.4,236.3,5.1,+2.21%,2054,15546
SAU25,2025-09-12,237.5,251.6,236.15,251.05,14.75,+6.24%,3055,16234
SAU25,2025-09-15,253.85,254.4,239.05,241.95,-9.1,-3.62%,4090,15257
SAU25,2025-09-16,244.15,250.45,240.35,247.3,5.35,+2.21%,3522,16219
SAU25,2025-09-17,247.75,249.9,238.45,247.5,0.2,+0.08%,3576,16033
SAU25,2025-09-18,249.25,262.75,249.25,257.35,9.85,+3.98%,12601,16998
SAU25,2025-09-19,256.5,257.4,243.65,244.45,-12.9,-5.01%,12449,16318
SAU25,2025-09-22,245.55,246.15,221.55,225.05,-19.4,-7.94%,13906,15522
SAV25,2025-09-23,228.25,229.45,220.3,222.2,-2.85,-1.27%,13384,16723
SAV25,2025-09-24,223.75,223.75,212.5,220.95,-1.25,-0.56%,15355,18154
SAV25,2025-09-25,219.05,219.5,200.55,204.9,-16.05,-7.26%,7275,16899
SAV25,2025-09-26,203.25,210.15,197.15,208.3,3.4,+1.66%,3859,15664
SAV25,2025-09-29,214.1,222.65,211.35,221.65,13.35,+6.41%,3866,16831
SAV25,2025-09-30,221.95,222.05,211.2,215.85,-5.8,-2.62%,2256,16623
SAV25,2025-10-01,217.1,228.05,213.35,227.45,11.6,+5.37%,3416,17276
SAV25,2025-10-02,226.25,241.45,226.2,240.2,12.75,+5.61%,3556,18264
SAV25,2025-10-03,239.65,244.25,234.15,239.85,-0.35,-0.15%,2387,18344
SAV25,2025-10-06,236.05,244.3,232.55,241.95,2.1,+0.88%,2812,18704
SAV25,2025-10-07,240.5,241.4,226.35,227.3,-14.65,-6.05%,5052,17386
SAV25,2025-10-08,228.6,235.9,222.75,235.5,8.2,+3.61%,3348,18210
SAV25,2025-10-09,235.35,235.7,222.4,223.5,-12.,-5.10%,4443,17401
SAV25,2025-10-10,225.95,230.4,197.95,210.65,-12.85,-5.75%,4887,17025
SAV25,2025-10-13,200.8,214.75,195.35,212.9,2.25,+1.07%,8211,19034
SAV25,2025-10-14,214.25,217.25,196.3,204,-8.9,-4.18%,3637,18939
SAV25,2025-10-15,206.4,214.25,197.15,199.6,-4.4,-2.16%,4095,18561
SAV25,2025-10-16,197.9,203.35,186.5,189.6,-10.,-5.01%,3456,18066
SAV25,2025-10-17,189.85,192.2,178.65,186.55,-3.05,-1.61%,3397,18272
SAV25,2025-10-20,191.9,199.05,188.3,193.75,7.2,+3.86%,5551,19340
SAV25,2025-10-21,194,202.75,187.6,198.85,5.1,+2.63%,5904,20702
SAV25,2025-10-22,196.35,196.35,181.6,184.25,-14.6,-7.34%,7645,19185
SAV25,2025-10-23,182.75,198.1,182.3,195.95,11.7,+6.35%,12928,19225
SAV25,2025-10-24,193.2,201,193,197.6,1.65,+0.84%,11852,19100
