Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
ERU23,2023-09-08,1648,1659,1614,1634.5,-1.,-0.06%,2275,4697
ERU23,2023-09-11,1621.5,1627,1529,1536,-98.5,-6.03%,4776,5514
ERU23,2023-09-12,1543,1622.5,1541.5,1595.5,59.5,+3.87%,3698,5181
ERU23,2023-09-13,1597,1616.5,1579,1598,2.5,+0.16%,3060,4958
ERU23,2023-09-14,1605.5,1645,1604,1635.5,37.5,+2.35%,3297,4693
ERU23,2023-09-15,1628.5,1637,1608.5,1621.5,-14.,-0.86%,1959,4629
ERU23,2023-09-18,1618.5,1671,1603,1640.5,19,+1.17%,4375,4549
ERU23,2023-09-19,1639.5,1661.5,1625,1645,4.5,+0.27%,2770,4560
ERU23,2023-09-20,1641,1650.5,1602,1614.5,-30.5,-1.85%,3586,4660
ERU23,2023-09-21,1622.5,1624,1565.5,1589.5,-25.,-1.55%,3929,4995
ERU23,2023-09-22,1586,1602,1575,1592.5,3,+0.19%,2567,4852
ERU23,2023-09-25,1588,1598,1561.5,1593,0.5,+0.03%,4698,4625
ERU23,2023-09-26,1588.5,1599.5,1579.5,1589,-4.,-0.25%,5880,4647
ERV23,2023-09-27,1589,1637.5,1583.5,1598.5,9.5,+0.60%,8329,4478
ERV23,2023-09-28,1598.5,1677.5,1595,1667,68.5,+4.29%,8463,4647
ERV23,2023-09-29,1664.5,1697,1656,1674.5,7.5,+0.45%,4105,4034
ERV23,2023-10-02,1689,1789,1640.5,1680,5.5,+0.33%,7116,3950
ERV23,2023-10-03,1664,1677,1646.5,1655,-25.,-1.49%,3366,3809
ERV23,2023-10-04,1656.5,1664,1622,1646,-9.,-0.54%,3922,3922
ERV23,2023-10-05,1647,1658.5,1608,1618.5,-27.5,-1.67%,3853,4227
ERV23,2023-10-06,1612,1660,1611,1651,32.5,+2.01%,4110,3794
ERV23,2023-10-09,1643.5,1643.5,1544,1581.5,-69.5,-4.21%,6132,4378
ERV23,2023-10-10,1580,1595,1550,1563.5,-18.,-1.14%,2953,4766
ERV23,2023-10-11,1562.5,1577.5,1542.5,1560.5,-3.,-0.19%,4001,5048
ERV23,2023-10-12,1562.5,1567.5,1514.5,1528,-32.5,-2.08%,3847,5640
ERV23,2023-10-13,1534.5,1559,1533.5,1543.5,15.5,+1.01%,2525,5584
ERV23,2023-10-16,1559.5,1647.5,1551,1588,44.5,+2.88%,7929,5175
ERV23,2023-10-17,1591.5,1605,1550.5,1562.5,-25.5,-1.61%,2740,5358
ERV23,2023-10-18,1557.5,1586,1557.5,1561.5,-1.,-0.06%,2496,5347
ERV23,2023-10-19,1558,1575,1538.5,1568,6.5,+0.42%,4010,5506
ERV23,2023-10-20,1566.5,1635.5,1562,1610,42,+2.68%,5989,5026
ERV23,2023-10-23,1637.5,1724.5,1630.5,1712.5,102.5,+6.37%,9619,4995
ERV23,2023-10-24,1721,1857.5,1718,1781.5,69,+4.03%,16249,4721
ERV23,2023-10-25,1788,1822.5,1763.5,1794.5,13,+0.73%,8904,4543
ERX23,2023-10-26,1800,1891,1778,1810,15.5,+0.86%,9817,4581
ERX23,2023-10-27,1815,1825.5,1755.5,1790,-20.,-1.10%,4113,4021
ERX23,2023-10-30,1810.5,1848,1789.5,1817,27,+1.51%,4115,4008
ERX23,2023-10-31,1823,1836.5,1796,1830.5,13.5,+0.74%,2729,4127
ERX23,2023-11-01,1827.5,1885,1797,1858.5,28,+1.53%,5639,4749
ERX23,2023-11-02,1875,1907.5,1799.5,1827.5,-31.,-1.67%,5577,4111
ERX23,2023-11-03,1816.5,1849,1790.5,1833,5.5,+0.30%,2521,4042
ERX23,2023-11-06,1873,1939,1873,1909,76,+4.15%,5142,4701
ERX23,2023-11-07,1918,1923.5,1862.5,1919,10,+0.52%,3632,4610
ERX23,2023-11-08,1898,1922.5,1885.5,1911.5,-7.5,-0.39%,3454,4774
ERX23,2023-11-09,1911,2102.5,1897.5,2054.5,143,+7.48%,11573,5908
ERX23,2023-11-10,2110.5,2154,2081,2108.5,54,+2.63%,6919,5783
ERX23,2023-11-13,2081.5,2133.5,2039,2100,-8.5,-0.40%,7689,5725
ERX23,2023-11-14,2074,2081.5,1931.5,1984,-116.,-5.52%,7584,5385
ERX23,2023-11-15,1994.5,2074.5,1975.5,2056,72,+3.63%,5419,5693
ERX23,2023-11-16,2066.5,2099,1947,1961.5,-94.5,-4.60%,6795,5181
ERX23,2023-11-17,1977,1997.5,1912.5,1949,-12.5,-0.64%,6317,5171
ERX23,2023-11-20,1985,2073,1981,2039.5,90.5,+4.64%,12954,5555
ERX23,2023-11-21,2032,2040,1953,1992.5,-47.,-2.30%,11908,5319
ERZ23,2023-11-22,1975,2132.5,1964,2117,124.5,+6.25%,9930,6395
ERZ23,2023-11-24,2109,2187,2082,2152.5,35.5,+1.68%,5684,6229
ERZ23,2023-11-27,2116.5,2116.5,2008,2020,-132.5,-6.16%,7374,4871
ERZ23,2023-11-28,2044.5,2116.5,2019,2100.5,80.5,+3.99%,4927,5748
ERZ23,2023-11-29,2085,2107.5,2044.5,2051.5,-49.,-2.33%,3735,5456
ERZ23,2023-11-30,2054,2077,2044,2069,17.5,+0.85%,2608,5273
ERZ23,2023-12-01,2069.5,2150.5,2065,2118,49,+2.37%,6431,6299
ERZ23,2023-12-04,2228,2307,2210,2255,137,+6.47%,6842,6307
ERZ23,2023-12-05,2255.5,2339,2211,2292,37,+1.64%,7260,6373
ERZ23,2023-12-06,2306.5,2340.5,2256.5,2275.5,-16.5,-0.72%,3895,5995
ERZ23,2023-12-07,2256,2409,2244.5,2371,95.5,+4.20%,7566,6811
ERZ23,2023-12-08,2378.5,2418,2359,2389.5,18.5,+0.78%,4501,6213
ERZ23,2023-12-11,2375,2391,2127,2213,-176.5,-7.39%,6809,5421
ERZ23,2023-12-12,2233.5,2257,2175.5,2197,-16.,-0.72%,4582,5193
ERZ23,2023-12-13,2199,2283,2156.5,2276,79,+3.60%,6021,5495
ERZ23,2023-12-14,2281,2333,2241,2305,29,+1.27%,6843,5777
ERZ23,2023-12-15,2328,2348.5,2236,2261,-44.,-1.91%,4651,5250
ERZ23,2023-12-18,2224.5,2227,2122.5,2193,-68.,-3.01%,4567,5075
ERZ23,2023-12-19,2223.5,2267,2140,2177,-16.,-0.73%,6029,5137
ERZ23,2023-12-20,2181.5,2275,2164.5,2189.5,12.5,+0.57%,5438,5160
ERZ23,2023-12-21,2194,2289.5,2188.5,2245.5,56,+2.56%,6398,5154
ERZ23,2023-12-22,2256.5,2353.5,2240,2322.5,77,+3.43%,7260,5814
ERF24,2023-12-26,2325,2325.5,2211.5,2249,-73.5,-3.16%,9185,5621
ERF24,2023-12-27,2259,2422.5,2243.5,2399,150,+6.67%,10037,6070
ERF24,2023-12-28,2401.5,2495,2372.5,2397.5,-1.5,-0.06%,6368,6143
ERF24,2023-12-29,2393,2421,2312.5,2337.5,-60.,-2.50%,5394,5336
ERF24,2024-01-02,2370.5,2479.5,2370.5,2392.5,55,+2.35%,5077,5548
ERF24,2024-01-03,2386,2414,2081,2240.5,-152.,-6.35%,7120,5863
ERF24,2024-01-04,2240.5,2326,2221,2297,56.5,+2.52%,4938,5880
ERF24,2024-01-05,2291.5,2299,2224,2268.5,-28.5,-1.24%,3533,5775
ERF24,2024-01-08,2233,2383.5,2180,2361.5,93,+4.10%,6297,5953
ERF24,2024-01-09,2360,2397.5,2244,2266.5,-95.,-4.02%,7050,5853
ERF24,2024-01-10,2360.5,2551,2331.5,2503,236.5,+10.43%,12571,6817
ERF24,2024-01-11,2562,2715,2562,2603.5,100.5,+4.02%,8453,6633
ERF24,2024-01-12,2622,2730.5,2515,2572.5,-31.,-1.19%,8921,6755
ERF24,2024-01-16,2522.5,2623,2470.5,2596.5,24,+0.93%,7778,6556
ERF24,2024-01-17,2608.5,2616.5,2520.5,2547,-49.5,-1.91%,5557,6325
ERF24,2024-01-18,2524.5,2556.5,2424,2450,-97.,-3.81%,5934,6093
ERF24,2024-01-19,2469,2509,2415,2487,37,+1.51%,5377,5958
ERF24,2024-01-22,2462.5,2467,2304.5,2340,-147.,-5.91%,9390,5971
ERF24,2024-01-23,2318,2352,2165.5,2198,-142.,-6.07%,12201,6136
ERG24,2024-01-24,2243.5,2274.5,2206,2215.5,17.5,+0.80%,6336,5796
ERG24,2024-01-25,2235,2254.5,2178.5,2224.5,9,+0.41%,6950,5705
ERG24,2024-01-26,2231,2294,2205.5,2273,48.5,+2.18%,4010,5158
ERG24,2024-01-29,2259.5,2328,2243,2318.5,45.5,+2.00%,3004,5036
ERG24,2024-01-30,2325,2410,2311.5,2391.5,73,+3.15%,3866,5141
ERG24,2024-01-31,2384,2387,2275,2298.5,-93.,-3.89%,3810,4975
ERG24,2024-02-01,2296.5,2324,2248.5,2307,8.5,+0.37%,4201,5234
ERG24,2024-02-02,2308,2333,2270.5,2307.5,0.5,+0.02%,3158,5223
ERG24,2024-02-05,2293.5,2345,2271.5,2299.5,-8.,-0.35%,3978,5147
ERG24,2024-02-06,2302,2406,2296.5,2393,93.5,+4.07%,4674,5668
ERG24,2024-02-07,2396,2461,2364,2454.5,61.5,+2.57%,3539,5871
ERG24,2024-02-08,2445,2478.5,2426.5,2443,-11.5,-0.47%,4281,5756
ERG24,2024-02-09,2441,2540,2431,2504,61,+2.50%,5738,5924
ERG24,2024-02-12,2510.5,2669,2482.5,2657.5,153.5,+6.13%,5797,6262
ERG24,2024-02-13,2668,2704.5,2604.5,2644.5,-13.,-0.49%,6221,6449
ERG24,2024-02-14,2649,2803.5,2635,2784,139.5,+5.28%,5481,6840
ERG24,2024-02-15,2781.5,2887,2776.5,2847,63,+2.26%,4759,6993
ERG24,2024-02-16,2834,2877.5,2760.5,2797,-50.,-1.76%,5291,7116
ERG24,2024-02-20,2890,3015,2868.5,2985,188,+6.72%,13631,6749
ERG24,2024-02-21,3006,3044.5,2871,2908.5,-76.5,-2.56%,9300,6782
ERH24,2024-02-22,2991.5,3080.5,2948.5,3056,147.5,+5.07%,8787,6651
ERH24,2024-02-23,3029.5,3032,2955.5,2998.5,-57.5,-1.88%,4722,5950
ERH24,2024-02-26,3158.5,3252,3071,3238.5,240,+8.00%,6014,6253
ERH24,2024-02-27,3228,3340.5,3216,3298,59.5,+1.84%,4692,6564
ERH24,2024-02-28,3286,3540,3226,3334,36,+1.09%,9046,6806
