Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
SJQ25,2025-08-13,3.5785,3.6345,3.5035,3.5745,-0.017,-0.47%,1080,5911
SJQ25,2025-08-14,3.57,3.653,3.2895,3.357,-0.2175,-6.08%,870,5801
SJQ25,2025-08-15,3.367,3.429,3.2895,3.356,-0.001,-0.03%,914,5941
SJQ25,2025-08-18,3.3995,3.403,3.2275,3.3675,0.0115,+0.34%,593,6067
SJQ25,2025-08-19,3.356,3.3755,3.1425,3.1475,-0.22,-6.53%,1395,5923
SJQ25,2025-08-20,3.1675,3.27,3.0925,3.2665,0.119,+3.78%,1815,6346
SJQ25,2025-08-21,3.2425,3.2465,3.1175,3.131,-0.1355,-4.15%,3176,6287
SJQ25,2025-08-22,3.1535,3.378,3.0535,3.3545,0.2235,+7.14%,7134,7545
SJU25,2025-08-25,3.2795,3.316,3.0715,3.128,-0.2265,-6.75%,7533,7197
SJU25,2025-08-26,3.081,3.3315,3.081,3.3125,0.1845,+5.90%,7898,8143
SJU25,2025-08-27,3.2335,3.267,3.195,3.223,-0.0895,-2.70%,5000,7955
SJU25,2025-08-28,3.2165,3.244,3.159,3.1635,-0.0595,-1.85%,2070,7683
SJU25,2025-08-29,3.1815,3.199,2.992,3.0215,-0.142,-4.49%,1688,6582
SJU25,2025-09-02,3.008,3.0645,2.909,3.0335,0.012,+0.40%,2074,6949
SJU25,2025-09-03,3.0425,3.098,3.017,3.073,0.0395,+1.30%,1111,7207
SJU25,2025-09-04,3.058,3.0685,2.987,2.9915,-0.0815,-2.65%,848,7062
SJU25,2025-09-05,3.0105,3.0885,2.981,3.068,0.0765,+2.56%,820,7248
SJU25,2025-09-08,3.073,3.201,3.0635,3.1875,0.1195,+3.90%,1129,7596
SJU25,2025-09-09,3.1835,3.24,3.1405,3.1675,-0.02,-0.63%,478,7603
SJU25,2025-09-10,3.1435,3.2275,3.1395,3.1825,0.015,+0.47%,331,7690
SJU25,2025-09-11,3.186,3.236,3.1555,3.2315,0.049,+1.54%,661,7892
SJU25,2025-09-12,3.2255,3.3435,3.2155,3.2975,0.066,+2.04%,1030,8185
SJU25,2025-09-15,3.2505,3.2645,3.153,3.1845,-0.113,-3.43%,833,8154
SJU25,2025-09-16,3.195,3.254,3.1615,3.2495,0.065,+2.04%,919,8399
SJU25,2025-09-17,3.235,3.26,3.1745,3.224,-0.0255,-0.78%,538,8492
SJU25,2025-09-18,3.239,3.328,3.239,3.3035,0.0795,+2.47%,3346,8653
SJU25,2025-09-19,3.269,3.2835,3.165,3.17,-0.1335,-4.04%,5339,8545
SJU25,2025-09-22,3.1635,3.174,2.8695,3.005,-0.165,-5.21%,9144,8520
