"Date","BTCUSD Return","BTCUSD Close","MBB Return","MBB Close","MBB Adj. Close","MUB Return","MUB Close","MUB Adj. Close","AGG Return","AGG Close","AGG Adj. Close","US10Y Return","US10Y Close","US10YT Return","US10YT Close","US5Y Return","US5Y Close","US30Y Return","US30Y Close","US2Y Return","US2Y Close"
03-06-2025,1.9575,89890.72,0.0711,93.20,88.39,0.0520,106.46,102.56,0.0730,98.47,93.74,0.1095,0.04276,0.1804,0.01943,-0.0208,0.04057,0.1741,0.04593,-0.1859,0.03971
03-07-2025,1.8467,86522.00,0.0703,93.13,88.33,0.0515,106.41,102.51,0.0717,98.35,93.62,0.1160,0.04301,0.1914,0.01961,-0.0138,0.04086,0.1759,0.04600,-0.1796,0.04002
03-08-2025,1.8365,86212.92,,,,,,,,,,,,,,,,,,,
03-09-2025,1.7334,83079.00,,,,,,,,,,,,,,,,,,,
03-10-2025,1.6075,79250.41,0.0761,93.63,88.80,0.0524,106.51,102.61,0.0768,98.82,94.07,0.0939,0.04216,0.1543,0.01900,-0.0408,0.03974,0.1616,0.04544,-0.2017,0.03894
03-11-2025,1.7236,82780.09,0.0719,93.27,88.46,0.0493,106.19,102.30,0.0730,98.47,93.74,0.1118,0.04285,0.1974,0.01971,-0.0256,0.04037,0.1756,0.04599,-0.1900,0.03951
03-12-2025,1.7340,83096.86,0.0699,93.09,88.29,0.0448,105.74,101.87,0.0699,98.18,93.46,0.1196,0.04315,0.2011,0.01977,-0.0169,0.04073,0.1843,0.04633,-0.1818,0.03991
03-13-2025,1.6426,80318.53,0.0720,93.28,88.47,0.0455,105.81,101.93,0.0731,98.48,93.75,0.1087,0.04273,0.1962,0.01969,-0.0273,0.04030,0.1720,0.04585,-0.1841,0.03980
03-14-2025,1.7687,84152.40,0.0688,93.00,88.20,0.0460,105.86,101.98,0.0709,98.28,93.56,0.1201,0.04317,0.2224,0.02012,-0.0116,0.04095,0.1815,0.04622,-0.1738,0.04030
03-15-2025,1.7767,84392.89,,,,,,,,,,,,,,,,,,,
03-16-2025,1.7378,83213.26,,,,,,,,,,,,,,,,,,,
03-17-2025,1.7627,83967.62,0.0711,93.20,88.39,0.0460,105.86,101.98,0.0724,98.41,93.68,0.1173,0.04306,0.2187,0.02006,-0.0126,0.04091,0.1736,0.04591,-0.1683,0.04057
03-18-2025,1.6991,82036.62,0.0722,93.29,88.48,0.0469,105.95,102.07,0.0735,98.51,93.78,0.1131,0.04290,0.2041,0.01982,-0.0147,0.04082,0.1723,0.04586,-0.1702,0.04048
03-19-2025,1.8145,85542.00,0.0747,93.51,88.69,0.0469,105.95,102.07,0.0766,98.80,94.05,0.0994,0.04237,0.1780,0.01939,-0.0268,0.04032,0.1636,0.04552,-0.1814,0.03993
03-20-2025,1.7803,84505.05,0.0758,93.61,88.78,0.0477,106.03,102.15,0.0773,98.86,94.11,0.0989,0.04235,0.1592,0.01908,-0.0302,0.04018,0.1639,0.04553,-0.1853,0.03974
