"Date","BTCUSD Return","BTCUSD Open","BTCUSD Low","BTCUSD High","BTCUSD Close","ETHUSD Return","ETHUSD Open","ETHUSD Low","ETHUSD High","ETHUSD Close","SOLUSD Return","SOLUSD Open","SOLUSD Low","SOLUSD High","SOLUSD Close","XRPUSD Return","XRPUSD Open","XRPUSD Low","XRPUSD High","XRPUSD Close","GC1 Return","GC1 Open","GC1 Low","GC1 High","GC1 Close"
02-14-2026,-0.3486,68854.05,68681.00,70590.00,69958.00,-0.1431,2053.04,2041.04,2108.20,2084.99,-0.4165,84.7900,84.0900,88.4500,88.0100,-0.3141,1.4090,1.3959,1.5088,1.4970,,,,,
02-15-2026,-0.3593,69897.73,68020.00,71032.00,68812.00,-0.1955,2085.00,1927.48,2103.50,1957.32,-0.4291,88.0100,84.8500,91.2100,86.1200,-0.3257,1.4970,1.4437,1.6713,1.4715,,,,,
02-16-2026,-0.3592,68804.01,67251.81,70222.00,68822.87,-0.1788,1957.43,1934.31,2025.20,1998.09,-0.4300,86.1200,82.5100,86.9000,85.9800,-0.3169,1.4716,1.4421,1.5183,1.4907,0.5271,5016.40,4969.14,5017.39,4991.11
02-17-2026,-0.3702,68829.90,66557.00,69334.00,67639.04,-0.1785,1998.67,1940.16,2017.90,1998.67,-0.4352,86.0400,82.7800,87.6430,85.1900,-0.3204,1.4909,1.4260,1.5120,1.4832,0.4929,4987.45,4841.60,5000.96,4879.28
02-18-2026,-0.3827,67627.70,65812.57,68561.00,66301.56,-0.2023,1999.09,1922.59,2040.60,1940.87,-0.4614,85.2000,80.4400,86.0500,81.2400,-0.3496,1.4832,1.4156,1.4950,1.4195,0.5226,4876.06,4854.31,5011.05,4976.49
02-19-2026,-0.3771,66303.00,65604.63,67402.00,66898.00,-0.1982,1941.04,1905.12,1989.50,1950.90,-0.4562,81.2400,79.5800,82.6600,82.0300,-0.3550,1.4223,1.3807,1.4393,1.4076,0.5291,4980.91,4960.68,5022.50,4997.74
02-20-2026,-0.3687,66900.25,66427.23,68390.00,67799.68,-0.1884,1949.13,1922.31,1982.90,1974.59,-0.4397,82.0300,81.7400,85.4700,84.5100,-0.3487,1.4076,1.3772,1.4507,1.4215,0.5632,5000.07,4981.74,5109.17,5109.17
02-21-2026,-0.3634,67799.67,67516.93,68762.00,68368.94,-0.1856,1973.71,1955.04,1998.20,1981.57,-0.4311,84.5200,83.9500,86.7400,85.8200,-0.3399,1.4214,1.4171,1.4657,1.4406,,,,,
02-22-2026,-0.3708,68368.94,67132.81,68474.00,67579.45,-0.1987,1982.36,1934.04,1984.50,1949.76,-0.4466,85.8200,82.7700,85.9200,83.4800,-0.3627,1.4406,1.3794,1.4440,1.3908,,,,,
02-23-2026,-0.3988,67579.45,63855.00,67830.00,64572.12,-0.2343,1949.76,1836.96,1963.20,1863.13,-0.4804,83.4700,77.1200,83.6880,78.3700,-0.3761,1.3909,1.3295,1.4252,1.3616,0.5994,5071.77,5068.02,5238.02,5227.35
02-24-2026,-0.4031,64572.14,62500.00,65095.00,64107.00,-0.2381,1863.05,1792.80,1872.30,1853.85,-0.4792,78.3700,75.6300,78.9100,78.5500,-0.3805,1.3612,1.3122,1.3697,1.3519,0.5727,5228.85,5093.90,5249.74,5140.05
02-25-2026,-0.3581,64107.00,63835.00,70171.00,68935.98,-0.1367,1854.25,1845.98,2158.60,2100.51,-0.4043,78.5600,78.4500,92.1200,89.8600,-0.3236,1.3519,1.3404,1.4950,1.4762,0.5803,5144.66,5127.06,5217.82,5164.83
02-26-2026,-0.3711,68922.60,66500.00,69275.00,67540.00,-0.1645,2100.91,1975.11,2117.00,2032.80,-0.4303,89.8600,84.3550,90.5600,85.9300,-0.3608,1.4764,1.3826,1.4894,1.3949,0.5864,5171.42,5130.75,5205.82,5184.82
02-27-2026,-0.3899,67478.80,65108.23,68300.00,65524.00,-0.2104,2030.74,1907.51,2065.30,1921.15,-0.4617,85.9600,80.8700,88.2900,81.2000,-0.3809,1.3966,1.3367,1.4277,1.3511,0.6149,5183.53,5167.08,5281.40,5278.01
02-28-2026,-0.3787,65535.20,63019.60,67209.00,66728.13,-0.1952,1921.17,1835.46,1974.82,1958.07,-0.4398,81.2100,77.1300,85.0600,84.5000,-0.3687,1.3530,1.2700,1.3853,1.3778,,,,,
03-01-2026,-0.3884,66728.13,65076.52,68264.00,65689.00,-0.2065,1958.24,1907.66,2056.00,1930.60,-0.4501,84.5000,81.7090,88.8900,82.9400,-0.3795,1.3778,1.3366,1.4347,1.3541,,,,,
03-02-2026,-0.3536,65686.20,65008.38,70141.00,69425.28,-0.1600,1929.23,1914.58,2091.60,2043.90,-0.4195,82.9400,82.3550,90.3100,87.5700,-0.3591,1.3544,1.3334,1.4236,1.3987,0.6286,5355.36,5260.57,5419.33,5322.69
03-03-2026,-0.3667,69425.28,66138.20,69538.00,68015.36,-0.1909,2043.59,1927.75,2059.40,1968.60,-0.4356,87.5600,82.4700,88.2300,85.1300,-0.3784,1.3985,1.3363,1.4071,1.3565,0.5570,5319.39,4996.54,5379.96,5088.85
03-04-2026,-0.3171,68035.00,67391.17,74100.00,73348.33,-0.1161,1968.91,1942.58,2200.00,2150.71,-0.3876,85.1400,84.7700,94.1100,92.3800,-0.3368,1.3563,1.3452,1.4753,1.4473,0.5715,5097.16,5081.06,5206.21,5136.33
03-05-2026,-0.3377,73348.32,70612.70,73592.00,71127.00,-0.1450,2150.90,2054.40,2165.11,2080.42,-0.4091,92.3500,87.8400,92.9900,89.1300,-0.3553,1.4479,1.3959,1.4541,1.4071,0.5556,5133.87,5051.09,5195.02,5084.19
03-06-2026,-0.3642,71143.30,67725.14,71428.40,68284.83,-0.1846,2080.88,1955.49,2093.72,1983.89,-0.4383,89.1200,83.6400,89.4300,84.7200,-0.3751,1.4071,1.3460,1.4153,1.3638,0.5784,5083.00,5062.62,5177.51,5158.89
03-07-2026,-0.3720,68290.10,66921.33,68629.00,67451.74,-0.1901,1984.28,1948.09,1996.51,1970.49,-0.4479,84.7500,82.2540,85.0700,83.2800,-0.3783,1.3639,1.3470,1.3754,1.3568,,,,,
03-08-2026,-0.3741,67451.74,66536.00,68201.16,67224.00,-0.1951,1970.57,1923.80,2008.09,1958.50,-0.4543,83.2900,81.2000,84.1100,82.3200,-0.3799,1.3569,1.3380,1.3716,1.3534,,,,,
03-09-2026,-0.3576,67220.17,65588.00,69575.00,68998.00,-0.1669,1958.48,1910.30,2054.96,2026.90,-0.4310,82.3300,80.2320,87.0800,85.8300,-0.3707,1.3536,1.3215,1.3844,1.3733,0.5725,5150.05,5015.57,5198.33,5139.56
03-10-2026,-0.3459,68973.84,68375.01,71814.00,70254.98,-0.1605,2026.09,1989.24,2089.00,2042.63,-0.4282,85.8000,84.8360,88.8400,86.2500,-0.3629,1.3731,1.3604,1.4434,1.3903,0.5877,5135.02,5118.01,5238.70,5189.16
03-11-2026,-0.3423,70260.00,68971.60,71358.48,70640.00,-0.1495,2042.62,2007.00,2086.49,2069.30,-0.4213,86.2600,84.3400,88.1200,87.2900,-0.3621,1.3897,1.3705,1.4118,1.3921,0.5848,5191.27,5149.14,5223.27,5179.50
03-12-2026,-0.3466,70651.32,69175.00,70984.00,70175.69,-0.1521,2068.64,2018.15,2096.09,2063.13,-0.4268,87.3000,84.7200,87.9400,86.4600,-0.3713,1.3916,1.3650,1.3977,1.3721,0.5541,5186.29,5055.24,5191.88,5079.19
03-13-2026,-0.3356,70175.68,70014.79,73968.00,71359.88,-0.1321,2063.14,2055.69,2211.62,2111.74,-0.4105,86.4600,85.9600,93.0600,88.9200,-0.3573,1.3721,1.3716,1.4534,1.4027,0.5366,5077.01,5010.01,5128.49,5022.11
03-14-2026,-0.3405,71359.88,70200.00,71500.96,70833.10,-0.1425,2111.52,2061.85,2117.21,2086.46,-0.4226,88.9200,86.5360,89.1700,87.1000,-0.3614,1.4018,1.3850,1.4063,1.3937,,,,,
03-15-2026,-0.3320,70821.57,70651.00,72016.00,71739.41,-0.1247,2086.71,2082.51,2139.46,2129.61,-0.4115,87.1000,86.8800,89.0600,88.7700,-0.3502,1.3936,1.3911,1.4303,1.4181,,,,,
03-16-2026,-0.3087,71739.41,71616.00,74547.50,74243.10,-0.0358,2129.60,2123.20,2348.83,2346.05,-0.3650,88.7700,88.5700,96.0020,95.7900,-0.2996,1.4181,1.4147,1.5445,1.5285,0.5319,5030.01,4967.53,5038.16,5006.85
03-17-2026,-0.3059,74250.00,73394.00,76022.60,74545.00,-0.0428,2345.77,2294.70,2386.30,2328.89,-0.3707,95.7800,93.1700,97.7000,94.9300,-0.2973,1.5284,1.4943,1.6075,1.5335,0.5320,5011.69,4973.64,5044.70,5006.93
